species_id,longdecimal,latdecimal
MTHORN,145.2638885,-16.58510151
MTHORN,145.2749992,-16.5833324
MTHORN,145.3166708,-16.58333025
MTHORN,145.2833297,-16.583329
MTHORN,145.2666688,-16.58332644
MTHORN,145.3041691,-16.57917133
MTHORN,145.2626988,-16.57461838
MTHORN,145.2635155,-16.57236608
MTHORN,145.2672673,-16.57194552
MTHORN,145.2693996,-16.56925231
MTHORN,145.2766799,-16.55662546
MTHORN,145.2794797,-16.55469671
MTHORN,145.2816984,-16.55279023
MTHORN,145.2760968,-16.55054811
MTHORN,145.278825,-16.55034474
MTHORN,145.2807407,-16.54668269
MTHORN,145.2855723,-16.53744195
MTHORN,145.2744315,-16.52920821
MTHORN,145.2775119,-16.52834808
MTHORN,145.2825094,-16.5193708
MTHORN,145.2731373,-16.51777537
MTHORN,145.2755187,-16.51648475
MTHORN,145.2708178,-16.51421387
MTHORN,145.2685584,-16.51337283
MTHORN,145.2694337,-16.51080469
MTHORN,145.2722967,-16.51012353
MTHORN,145.269812,-16.50828664
MTHORN,145.2690484,-16.50462053
MTHORN,145.2041658,-16.46193703
MTHORN,145.2053047,-16.45519669
MTHORN,145.1999963,-16.45000049
MTHORN,145.0550757,-16.2933914
MTHORN,145.0888942,-16.28788979
MTHORN,145.0891413,-16.28555172
MTHORN,145.0609351,-16.28550279
MTHORN,145.0853886,-16.28471358
MTHORN,145.0818718,-16.28461846
MTHORN,145.0779115,-16.28395903
MTHORN,145.079913,-16.28209775
MTHORN,145.0720345,-16.28127611
MTHORN,145.0767408,-16.28121053
MTHORN,145.0635269,-16.26735555
MTHORN,145.0555987,-16.2612018
MTHORN,145.0614347,-16.26035173
MTHORN,145.0421497,-16.26002069
MTHORN,145.0495646,-16.25936626
MTHORN,145.0456939,-16.25917696
MTHORN,145.0380113,-16.25382004
MTHORN,145.0263383,-16.24627527
MTHORN,145.0229768,-16.24570179
MTHORN,145.0168932,-16.24422636
MTHORN,145.019533,-16.24401612
MTHORN,145.0095365,-16.23916072
MTHORN,145.0104071,-16.23629558
MTHORN,145.0075686,-16.23396486
MTHORN,145.009155,-16.22966978
MTHORN,144.9825268,-16.22893026
MTHORN,145.0103873,-16.22709717
MTHORN,145.0055624,-16.22143174
MTHORN,144.9941319,-16.21888441
MTHORN,145.0666696,-16.21666612
MTHORN,144.9932788,-16.21355442
MTHORN,144.9853295,-16.21175335
MTHORN,144.9792808,-16.20791001
MTHORN,144.9735056,-16.20478293
MTHORN,144.9739789,-16.20239306
MTHORN,144.97676,-16.20017877
MTHORN,145.370829,-16.17499986
MTHORN,145.3635488,-16.17330828
MTHORN,145.3708258,-16.17083371
MTHORN,145.3656251,-16.16986301
MTHORN,144.9917894,-16.16943791
MTHORN,144.9949467,-16.16786839
MTHORN,144.9980569,-16.16725614
MTHORN,145.3674056,-16.16712938
MTHORN,145.3750024,-16.16667239
MTHORN,145.369651,-16.16584524
MTHORN,145.3717354,-16.16481288
